,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41
QCOM,0.5404875454880308,-0.01984920663760447,-0.1216632483116648,-0.12412304416685678,-0.5589112321110503,0.08414652607333209,0.2670281903243299,0.14577789021668705,0.07485999398758653,0.03483366973727171,-0.2798123857358692,0.20242643141112945,0.019707112500713674,0.06952480751456744,0.18645892549060183,0.11014257192175426,-0.0763608380238478,-0.03139003196726777,0.15591312004599636,0.024678536300828304,0.06860448467236485,0.07714559206066164,0.00317592194944429,-0.05252517038359224,-0.09615393949488706,0.05749529578632598,0.05708952445684611,-0.1165557940363631,-0.04511271749572727,0.005730304731884218,-0.016128957059919742,-0.023621233055742465,0.057769671041342195,-0.028733694758069146,-0.04734385684131129,-0.0034971455514689145,-0.030286282451180604,0.007327257653193357,-0.04371550413546944,-0.01736739450703644,0.000726627764142459
AMAT,0.8345609882694938,-0.25406997956156296,-0.047732581819789587,-0.03177643734882857,-0.13402681921847845,-0.10311559647684049,-0.2460791015575371,-0.1109262697304856,-0.11239288646137098,0.116900874259195,0.02554745280048157,-0.0777464544098639,0.017307734114921734,-0.013642423794824136,0.05758385987457076,0.03184035228240196,0.028109149858766766,-0.032689463467874436,0.04187283175609961,0.009512655452118319,-0.12231094141607753,-0.0824690218047749,0.06938201270007939,-0.05819534533721488,0.028690911213486544,0.12729879583013903,-0.01145011562431218,0.06470460565775346,-0.11850754032297997,0.01113031738347325,0.11587159530869642,-0.039384688427447,-0.013753284985762875,0.015638388577320982,0.01824367368444825,0.06488235172524535,0.04837086893989301,0.04753059084997483,-0.04478897504642688,0.00916593795641185,-0.024113350243515536
LRCX,0.8682041975815283,-0.24246526273193678,0.06386247773237926,-0.01970807936094488,-0.12430903892031189,-0.08893041451003286,-0.19670494366283073,-0.09335076351037708,-0.020613034473703516,0.16530873404702484,0.06331502279334376,-0.03837216233842849,0.03400487982733277,0.011062807346865879,-0.013599227031273343,0.005511537011949324,-0.05552101808332989,-0.015511793638998368,0.025426389349720083,0.0321888536029806,0.01133159766883855,-0.0663166198870804,0.09501334214280402,-0.018588934922805812,0.08033802230702926,0.12717023083576898,-0.01331438601504642,0.017085417379041266,-0.054818871581575654,-0.03433380631445661,0.0256253922886876,0.08972872460717231,-0.03451735626063801,0.06356895746547365,-0.03576426996561736,-0.06744369652805349,-0.08119832209363033,-0.06587240279453596,0.018164871004914988,-0.015044891288024883,-0.00529503918068145
KLAC,0.2909059681574378,0.03076000015260244,0.25946037382072284,0.20529109546470664,-0.12480997624950749,-0.010633987023076871,0.5068467096171525,-0.02103817479283757,-0.5410380393950432,-0.14537792306124483,0.10554589585369643,0.05157118285913665,-0.019801608405782288,0.2798556168343249,0.0009944548338162798,0.09861582641028552,-0.2427046533648956,-0.01896288321093367,-0.02551813920983957,-0.03259784984440162,-0.08675060605697749,-0.12365103187805825,-0.013088452237398204,0.15394077958304045,0.05140832529673027,-0.03902473806983214,-0.012968486408166653,-0.03502503391781905,-0.028019805859817143,-0.019794137253252003,0.022415174904212947,0.018461343798369383,-0.014818659904013196,0.008224671957700777,0.008164944169053771,0.006815242948667208,0.002901698388863841,0.005736303491435885,0.010087717651235832,0.007415834635218477,-0.0005557380601989379
LITE,0.5922879454753871,-0.17315876088816637,-0.5705009620739965,-0.09640152472044063,0.33565390241894294,-0.0989622966557398,0.014604443090208408,0.1658163601555315,0.06608149969925764,0.027315391823203077,0.0403310359452336,-0.010842644538874659,0.1543273470248275,0.05211549108044687,-0.05790397398188136,0.08010273025195444,-0.12516023364219464,0.1060450172690979,0.10096224209866929,-0.10085295599165761,0.01663220085885696,-0.027789446966238026,-0.030382150063310902,0.031935426641196744,-0.04936569232760589,-0.02974370843281066,-0.015750151387220006,0.035943520269311344,-0.11689509208538987,0.07062628037703816,0.06457601604155344,-0.009283492784611692,-0.006508375282253728,-0.05651213588077896,0.00824825084178276,-0.06969826412450138,0.041241463779028466,-0.002383298597960713,0.023012199452418936,-0.03764462986548575,0.03562302209160412
COHR,0.740968937527193,-0.29873040405749407,-0.39506473184291885,-0.11567880532492004,0.24830035565410172,0.09020350031648525,0.02587281822087853,0.07745460731759513,-0.10186232514347293,0.07607385026168495,-0.10305243565270433,-0.05967204491881156,0.10862052895144297,0.030317723725788986,-0.08734877301120243,0.001976667508657756,0.014244926272229721,0.050687225100851,0.028469468088493426,0.027311822455228264,0.0341710831674968,0.036623742199770146,-0.048274740532773676,0.08139558813151085,0.05114446994003624,0.0525917772236681,0.0020898245943648257,0.020177897023614496,0.021705410668981105,-0.06401924005291094,-0.09490329064063197,0.06494007391714661,0.03040075381394071,-0.014407959004164727,0.13846669411203708,0.029767410168001263,-0.04492988916345417,0.013360912114057755,-0.047335717607739955,0.0065402014670222774,0.007917436651901788
AAOI,0.4948356782086183,-0.12254983341916528,-0.48027980389736863,-0.25772456847478903,0.44273999116793994,-0.1758439379616957,0.069259289137109,0.08860450377125637,0.08513747159251372,0.036129629768706026,-0.16915423249287673,0.07639354616802417,0.0903766973159122,0.21194571605530416,-0.10167284617906237,0.06556624863336759,-0.002521670993202487,0.06084505423002921,-0.0551690925274177,0.15819822934529346,0.016531305446236516,-0.10709399900687225,0.08099079130093809,0.053982643964626695,0.0622179517330386,-0.025138056073421736,0.05795362558370066,-0.01232404459573296,0.1146565926784424,0.05036152996608046,-0.014581330470541064,-0.016521418460736518,-0.022549856412177556,0.03919685865482601,-0.1055340562343787,0.04210080095766313,0.00035638590424776295,0.008623822442122455,-0.010360500974906883,0.012826272530916182,-0.015348319748974106
VRT,0.739737120595972,-0.3090288459791698,-0.15855191454803147,0.06632362092572751,0.25909136195977117,0.02428603922890642,0.04137062610071301,-0.038384953330740476,-0.07091081411858363,0.09140588497004769,0.005637605470892963,0.26118131702996383,0.08905766678156977,-0.13508984475937647,0.11206580187327127,0.03519174997782344,-0.10432240091446249,0.031691298543346055,-0.07670041917533933,-0.04572301880658358,-0.1894352823084043,0.07923133366246145,0.09159208094589784,-0.15389884688947153,-0.07267276841012135,0.005630347402589044,0.03921379375402266,-0.058673601366560316,0.005860227880287267,-0.11887930441352927,-0.05162931155686173,-0.07032820450538986,0.02480021955670061,0.06450587891088153,0.021041331200809286,-0.0005644182519085293,0.00834008833433151,0.010472467782255858,0.058328293144255076,0.015509248246303871,0.005471584600443446
BE,0.6052246069193844,-0.27786021638351976,-0.015170026363262564,-0.0144991409839572,0.23984218393850765,0.17340699971461945,0.2751450356233887,-0.06782236294226376,0.13054444856819586,-0.22947597420316765,0.3946269256240141,0.08895838163870251,-0.017427098371413582,0.11998917273581551,0.04498823015680097,-0.06628628162359099,0.024314688689077716,-0.057871583312718376,0.19163108964772674,-0.07201592375157444,0.08051952169433645,0.1887136419926292,-0.1175552732347928,-0.03931263515347812,0.05636515034899947,0.013668650377009402,-0.031611822621897344,0.11349045323302831,0.02201146966792685,-0.04678113982917889,0.001382198095926553,-0.0757452830311746,-0.031322319612000826,0.037952927362148066,-0.026818957763971727,-0.006727085132737285,-0.002640672193732411,-0.018126426882881755,-0.028683924092780196,-0.004717795349715515,-0.019012379230924283
ENPH,0.5568629538899459,-0.06999396091543947,-0.12762836828753915,0.04857007427120737,-0.2183805320058162,0.4767523967551176,0.06002204636741415,0.04009221553719456,-0.11644896114443995,0.35819102341429565,0.1179225655413472,-0.05028952739332241,0.1828848073339568,0.06314442215906545,0.09511554488326979,-0.06303634504488626,0.24682769390393108,0.00563083580107662,-0.11244991786663822,-0.1791639132594938,0.005718321666827743,0.04059098355159328,0.17729916122682987,0.07680922844438015,-0.04443556713002446,-0.15327400798355467,-0.03948036167398575,0.02470231729228395,0.03380330119908757,0.016398760611696594,0.02184873699366168,-0.002985587670339995,-0.04392959227179736,-0.006038644799601566,-0.02267749841702884,0.013896707296961217,-0.017560646932990396,0.003843085050173034,-0.008842185980995673,-0.00583268359929395,0.0073786831018834475
