,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42
QCOM,0.6293690601468916,-0.17840337247826774,-0.03579685651128116,-0.5303159681983237,0.12722577915774022,0.25431016674282414,-0.2739007761212144,-0.16576989259977817,-0.0991256652355864,0.09909676736067645,-0.18414465753078962,-0.012144598620556208,0.13641103278462935,0.03177910762586797,-0.027412000002311223,0.014839372443878535,0.08703826669373203,0.15487095492987632,0.018331331501020683,-4.772591904283999e-09,-3.807878156285148e-09,2.3474884506269773e-09,-8.235302874965785e-10,-4.088147860054379e-09,4.47494910813975e-09,-3.758089367761508e-09,9.679046126466514e-10,-1.5083506704137495e-09,1.1538484157787088e-09,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
CBRS,0.088167385086607,-0.34927954984721005,-0.30596543697551976,0.2818244905441966,0.38495339780271876,0.08762937789764524,0.29304179435188654,0.5766357386811576,0.09967101915247913,0.06397263905497644,0.14091694920006556,-0.1419393149404616,-0.048822909346487295,0.20021618765383495,0.0917768779230168,0.025538648963996453,0.02839452054909615,0.1226594188780112,-0.038883892946928046,-4.1612983962349865e-09,4.345963542540562e-10,2.686101042877102e-10,1.117077577915548e-09,1.1992744067732252e-09,-8.035342072721323e-11,4.494555851639433e-09,6.451432248973748e-10,2.5995098749452574e-10,1.0496147455569876e-09,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
AMAT,0.8493922720715613,-0.28448156340067177,-0.092613087741445,0.058800687567591436,0.029825189589117198,-0.23067170718934196,-0.16828478753047,-0.0681743586970098,0.005022197023984367,0.015860875180381127,0.087193696306559,0.06626090469438678,-0.046022231491770274,0.017965363235268875,0.2639695816597376,-0.012733983710534908,0.09149747732782683,-0.029841734440069656,-0.06845846995137023,4.994543234628595e-09,1.072701644620384e-08,7.65193684656516e-09,8.196473363828669e-10,1.1198246681665487e-09,-1.531616337489805e-09,-1.8547240089709396e-09,-4.508059552039676e-09,1.3568896981494386e-10,-2.1917631232001084e-09,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
LRCX,0.8930922939377529,-0.34055562669006473,0.04681564254754488,-0.06288254753410213,0.014106948060789338,-0.21892677668475505,-0.027649259382682447,-0.00026755205951699675,-0.009175709508602616,0.05290706871650922,-0.0076993434451650515,-0.011992631121783547,-0.010248963849844556,0.057731270696424114,0.12079951741921506,-0.03311041200001531,-0.0719942331398759,0.042598560810311326,-0.04646054770897435,3.0594653693134714e-09,7.645417976193986e-09,5.925514687311024e-09,-2.8771518602345836e-09,1.0352246623389075e-09,7.444204558792075e-09,-2.7197724740431853e-09,3.3904773460910667e-09,-2.5860331206061967e-09,2.3797950675922983e-09,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
KLAC,0.3320459942927964,0.06640791944945498,0.36751808934118835,-0.1098819748400707,-0.2750832433281319,0.3534496206563773,-0.420466102646646,0.17241891466481493,0.3385392927415167,0.18523781730516034,0.2369925523146857,0.22314395758189703,0.035789610682505225,0.11057081467395942,-0.21536353524336868,0.018279572482365714,-0.02014618448508249,0.08793421847269946,-0.08850486744214607,4.971566903886795e-09,4.627239358474146e-09,3.3044803582847775e-10,-6.757613760227994e-10,-1.3768239610906838e-09,-2.8145993591333017e-11,-4.5178575027511297e-10,-1.0874803554157222e-09,-1.496370497665281e-11,-1.909929765418048e-09,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
LITE,0.5235788659381172,-0.168316694331723,-0.6592026056254301,0.29482861062627835,-0.17548019797114522,0.1542952577748512,0.25326781781357477,-0.14440536811343319,-0.059588331544181056,-0.01893488229549126,0.12301659520030817,-0.024242230438504993,-0.03241985648938705,0.06473835634856953,-0.08818127464389781,0.019930017470863474,0.05173414984828134,-0.01752087914636029,-0.02088388660705425,1.5178614286264174e-08,-5.615150258226978e-09,9.237180069154617e-09,9.124343350506976e-09,-2.0970680752764288e-09,-1.437505452340865e-10,-4.769869215119726e-09,-1.3967442511460397e-10,-1.7907792711814643e-10,2.0364305940364996e-09,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
COHR,0.634896283700251,-0.38270178843408753,-0.5434613511256445,0.2087594990830169,0.006487579377675122,0.2509124499810087,-0.1380572532573982,0.031287635038414266,-0.08038424568716604,0.029588104230751897,-0.023820614910171505,-0.11999792302445302,-0.025656073476446536,-0.0098514175045426,-0.039903719349392526,-0.03364972942899736,-0.036895750665664376,-0.01967072183645035,0.030745381366929895,3.723096674746009e-09,5.404960504800573e-10,-1.0285198064097074e-08,4.619515595209218e-09,7.542925447446423e-10,6.3569974443936456e-09,3.9659909959187713e-10,6.596253015034135e-09,-8.116702878300537e-11,-2.543705043106425e-10,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAOI,0.43567321596989234,0.0327587041141812,-0.6110645451866962,0.5638043838149479,0.1148681478449468,0.09917801107871864,0.07324600187832976,-0.08091189682480458,0.028439042849677045,-0.17333433660347988,-0.01847972846474703,0.05073160916274103,0.1399034575876372,-0.05265930425149658,-0.06101087425225688,-0.07871287985934348,-0.09231138306353945,0.06488512675972359,0.0642923823804151,8.828398841717487e-09,2.5418031873759453e-09,6.7215088369800336e-09,-5.34980527755854e-09,3.935816100707286e-09,-8.943821469822567e-10,-3.2390756656019017e-09,-2.1970904352340748e-10,-3.660700849353045e-10,-4.330856903943912e-09,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0
VRT,0.7482442178760442,-0.07045424006285166,-0.328692426793511,-0.02827385889006316,-0.26572711464220056,0.03615408297737104,-0.09412157074844954,-0.27350221337835656,-0.13610205742876094,-0.1802784115389775,0.16943210328770972,0.19498299554139367,-0.15306205349030028,0.05588824478145003,0.10006651612370182,-0.10361045878801982,0.015512117913285543,0.06764412071021611,0.02970458347611014,-4.5526386628478595e-09,3.1248026114629293e-09,-5.180781530303798e-09,1.7002640411477227e-09,1.1466876397848663e-11,1.4567263625343752e-09,7.769268238763478e-09,-9.995083785754887e-10,-4.091641551434152e-09,1.9201142248256528e-10,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
BE,0.6908784710185653,-0.3705713840431715,0.07179222865913522,0.0019100448633936132,-0.3421647180222614,0.3213982416399205,0.16570067127590565,-0.06331768346269152,0.11520412113077723,0.21538373972358696,-0.09057183723936088,0.018096833627776206,-0.058698702084227054,0.045522391750391356,-0.03152052605153319,0.15385136865647045,0.00485939852779312,-0.17223259690838993,-0.01744871442995643,-3.010492078691989e-09,3.522945647484472e-09,2.5047609013993495e-09,-7.386950420977135e-10,-2.897588612773693e-10,-8.019260801920749e-10,-2.475161150054469e-10,3.508605959873823e-10,-4.767139924118496e-09,-1.1940229081238867e-10,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
